Q (uL/min),Vg (mm/min),Layer Height (mm),Average Line Width (μm),Average Line Height (μm)
470.386718354811,622.058421177603,0.95,1380.29367223199,597.4025
965.262886926195,1255.80941476922,0.9,1250.81333333333,499.9975
703.56702261099,902.726105141681,0.9,1270.76833333333,422.1225
857.964835727386,1068.76088193922,1.2,1459.47845,607.1425
130.31187324451,159.74020575447,1.1,1174.23698918439,840.165
518.177126351404,613.665569661474,1,1571.36006040155,617.2825
888.985922941673,1005.13910284176,1,1446.47,482.9875
506.281477343394,555.640216890481,1,1301.485,576.9225
432.20531088708,463.45592566281,1.1,1386.134,706.07
819.16737181698,835.746402255676,1.3,1606.13897158938,700
627.155001106829,632.648542610982,1.1,1458.44033333333,642.475
369.031052555664,332.449851683561,1.1,1436.853,518.7075
765.005326555755,657.762514686519,1.1,1564.21166666667,824.18
569.443996417967,455.274937573021,1.1,1618.48,631.355
270.428407659585,215.992581558317,1.1,1468.57975,853.985
975.990410233233,716.183874628052,1.25,1732.56,953.125
671.64943679486,479.838104588296,1.3,1649.43666666667,665.9325
468.130258750429,319.186321898138,1.5,1488.55666666667,648.44
523.504641778478,354.718208361769,1.35,1617.83697,752.635
875.415967863934,515.4015137417,1.5,1824.65037832924,1076.2225
